+--------------+--------------+
|      Pat No. |           99 |
+--------------+--------------+
|      Pic No. |            4 |
|         Mode |            1 |
|   Ratio Mode |            0 |
|  Ratio Value |        0.250 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
|   26 |  123 |    4 |  127 |    6 |  127 |   59 |    9 |  127 |   17 |   69 |  127 |  127 |  127 |  127 |   83 |   26 |   47 |   31 |  127 |   77 |  127 |  127 |   25 |  127 |   68 |   45 |  127 |  127 |  127 |  127 |  127 |    9 |
|   27 |  127 |  126 |  127 |  127 |   58 |  127 |   30 |  127 |    4 |  127 |  127 |  127 |   37 |  127 |  127 |  127 |  127 |  127 |  127 |   77 |   86 |  127 |   42 |  127 |  127 |  127 |   95 |  127 |  127 |   42 |  127 |   58 |
|   28 |  127 |  127 |   65 |   67 |  127 |   41 |  127 |  127 |   99 |   91 |   91 |   14 |  127 |  127 |  116 |  127 |   63 |   28 |   38 |  127 |  127 |  127 |   34 |  116 |   96 |   30 |  127 |  127 |  127 |  127 |  127 |  127 |
|   29 |   85 |   70 |  127 |  127 |  127 |  127 |   17 |  127 |  127 |   58 |  127 |  127 |   94 |   52 |   19 |   90 |   96 |   62 |  127 |   89 |   72 |   71 |  127 |  127 |    6 |  127 |  127 |   28 |    3 |  106 |   70 |  127 |
|   30 |    6 |  127 |  127 |  127 |    7 |    7 |  127 |  127 |   75 |   67 |  127 |   95 |  127 |   68 |  127 |  127 |   15 |  127 |  127 |    7 |  127 |  127 |  127 |  127 |   83 |  127 |  127 |   61 |  110 |   22 |  107 |  125 |
|   31 |  127 |  127 |  127 |  127 |  111 |  115 |  127 |  127 |  127 |  127 |  127 |   48 |  127 |  127 |   12 |  127 |  127 |   64 |   60 |  109 |   73 |   85 |   28 |   44 |   72 |  127 |   45 |  117 |   57 |   37 |  109 |   17 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  G-1 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |    3 |  127 |  125 |   31 |   78 |  127 |   29 |  127 |  111 |   69 |    1 |  112 |  110 |  106 |   83 |  127 |  106 |   22 |  102 |   67 |   69 |  127 |   59 |  126 |   10 |  110 |  127 |  127 |   67 |  110 |  127 |
|    1 |  127 |  127 |   50 |   19 |  127 |   92 |  105 |  127 |  127 |  127 |   19 |   78 |   13 |  127 |  127 |  127 |   91 |  127 |  126 |   64 |   73 |   29 |   90 |  127 |   17 |  127 |   89 |   89 |  104 |  124 |   31 |  127 |
|    2 |  112 |   22 |   97 |  127 |  120 |  127 |  127 |  120 |  127 |   55 |  127 |  127 |   51 |   51 |  119 |  127 |  127 |   74 |  102 |  127 |  127 |  120 |   58 |  127 |  108 |  127 |  127 |   51 |   71 |   89 |   82 |   76 |
|    3 |  127 |    4 |   10 |  127 |  123 |   81 |  112 |  127 |  122 |  127 |   44 |    7 |   59 |  127 |   60 |   24 |  127 |  100 |  126 |  127 |   83 |  127 |  127 |  125 |  127 |   59 |   28 |  127 |  124 |  127 |  127 |  127 |
|    4 |    7 |   50 |  127 |  116 |  127 |  109 |  127 |   54 |   79 |  127 |  127 |   44 |   94 |   85 |  127 |  127 |  127 |  127 |  127 |  127 |  105 |  127 |  127 |   96 |  124 |  127 |  127 |  127 |   72 |   64 |  114 |  127 |
|    5 |  127 |  127 |   54 |  127 |   56 |   15 |  127 |   59 |  127 |  127 |  127 |   30 |  127 |  103 |  127 |   18 |  127 |  127 |  127 |  122 |  127 |  127 |   48 |   50 |   44 |  127 |  127 |  127 |   18 |   20 |   27 |   97 |
|    6 |  127 |   90 |  127 |   76 |  127 |  127 |  123 |  127 |   34 |  127 |   60 |  127 |  127 |  123 |  127 |   39 |    7 |  127 |    6 |   87 |   56 |  127 |  127 |  127 |  127 |  127 |   44 |  127 |  127 |   79 |   18 |  127 |
|    7 |  127 |   43 |  127 |    0 |  127 |  125 |  127 |  127 |   44 |   87 |    4 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  103 |  127 |   40 |  115 |   75 |  127 |   82 |  127 |   99 |  127 |   64 |    4 |  101 |   78 |
|    8 |   66 |  127 |   60 |  127 |   33 |  127 |  106 |   62 |  127 |  127 |  127 |   92 |   84 |   84 |   88 |   44 |   36 |  127 |   82 |  127 |  127 |   85 |   68 |  127 |  127 |   33 |  127 |   91 |  127 |  127 |  127 |   94 |
|    9 |   98 |   38 |   58 |  127 |   65 |   55 |   67 |   87 |   91 |  127 |  127 |  127 |   94 |  127 |  125 |   98 |  127 |  127 |  127 |  127 |   33 |  127 |  127 |  127 |   15 |  127 |  106 |  127 |  104 |  127 |    5 |  127 |
|   10 |  110 |  127 |   94 |  127 |   26 |  127 |  127 |  127 |  127 |   40 |  127 |  127 |  127 |  127 |   58 |   30 |  127 |  127 |   79 |   98 |   54 |   18 |  127 |  127 |   72 |  103 |   45 |  127 |  127 |  127 |  127 |   68 |
|   11 |  127 |   72 |  127 |    0 |   60 |   34 |   33 |  127 |  127 |  127 |  124 |  127 |  127 |   69 |  127 |  110 |  127 |   33 |  127 |  127 |   60 |  127 |  124 |  127 |  127 |  115 |   85 |   37 |  127 |  127 |  122 |   59 |
|   12 |   28 |  127 |  127 |  127 |   24 |   18 |  127 |  127 |  106 |  127 |  127 |  100 |   26 |  127 |  127 |   85 |   20 |   50 |  116 |  107 |  127 |   33 |   22 |  127 |  111 |   26 |   99 |  127 |  108 |  127 |    7 |  127 |
|   13 |   76 |  126 |  127 |  127 |   33 |  127 |   89 |   82 |   75 |  127 |  127 |   24 |   57 |  127 |   80 |  127 |  127 |   85 |  127 |  127 |  122 |  127 |   63 |   77 |   85 |  127 |   17 |   49 |  113 |  127 |   66 |  127 |
|   14 |   52 |   51 |   52 |  127 |  112 |   67 |  102 |  127 |   42 |  127 |   90 |  127 |   29 |  127 |  121 |   99 |   93 |   69 |  100 |    7 |  127 |  127 |  127 |   68 |   35 |  127 |  127 |  127 |  127 |   91 |  119 |  113 |
|   15 |   40 |   30 |   85 |  123 |  120 |  127 |   27 |   20 |  127 |   70 |   71 |   61 |  127 |   45 |   27 |  127 |  127 |  105 |  103 |   35 |   34 |  127 |   79 |  110 |  127 |  127 |  127 |  127 |  116 |  127 |   99 |   93 |
|   16 |  113 |  127 |   17 |  116 |  127 |  127 |  127 |  100 |   45 |  127 |  127 |   33 |   86 |  127 |  126 |  127 |  127 |  127 |   94 |   11 |   67 |  127 |  127 |  127 |   57 |   72 |   33 |   31 |   25 |  127 |    3 |   61 |
|   17 |  127 |   71 |  127 |   73 |  127 |  127 |   85 |  127 |   44 |  126 |   70 |  118 |  127 |   75 |  127 |    0 |   55 |   49 |  127 |  127 |  107 |   83 |   53 |   99 |  120 |  127 |   27 |   27 |  127 |   63 |  127 |  127 |
|   18 |  115 |   65 |   49 |  127 |  127 |  103 |   79 |  127 |  127 |  127 |   43 |  127 |   11 |   78 |  127 |  127 |   13 |   65 |   91 |   87 |   78 |  114 |  127 |   44 |  127 |  127 |  127 |  127 |   85 |  127 |  127 |    5 |
|   19 |   86 |  127 |  127 |    9 |  127 |   46 |  127 |  127 |  127 |    7 |   40 |  127 |  127 |   25 |  127 |  122 |   32 |  127 |   68 |  127 |   69 |   29 |  127 |  127 |  127 |  127 |  127 |   90 |  127 |  108 |  127 |  127 |
|   20 |  127 |   89 |   12 |  127 |  127 |   97 |   66 |  127 |  127 |  127 |   46 |   83 |  127 |   16 |  127 |   11 |   50 |   60 |  127 |  109 |  127 |  112 |  127 |  127 |   23 |   80 |    3 |   69 |  127 |  127 |  127 |   36 |
|   21 |   71 |   19 |   78 |  127 |  127 |  110 |   25 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  108 |  127 |  127 |  127 |  102 |  127 |  127 |  127 |   22 |  127 |   30 |  127 |  127 |   84 |  127 |   79 |   21 |
|   22 |  127 |   45 |  127 |  101 |  110 |   51 |  127 |  104 |  127 |  127 |  127 |  127 |  127 |  127 |   99 |  101 |  127 |   38 |   72 |  127 |  127 |  127 |  103 |  127 |  127 |  127 |  127 |   68 |  127 |  109 |  127 |   78 |
|   23 |  100 |   85 |  127 |   33 |  127 |   83 |  127 |   31 |  127 |   66 |  127 |  127 |  127 |  127 |  127 |    4 |  127 |  127 |   82 |  127 |  127 |   71 |   25 |   72 |   89 |   86 |  127 |  127 |  127 |   34 |   77 |   31 |
|   24 |  127 |  127 |  113 |  127 |  127 |   39 |  127 |   49 |   60 |  118 |  127 |  127 |  127 |  127 |  127 |  127 |  110 |  127 |  127 |  127 |   43 |   47 |   64 |  127 |   55 |   18 |   34 |  127 |    7 |   53 |  127 |  127 |
|   25 |  127 |   83 |   32 |  127 |  127 |    9 |  127 |   68 |  127 |  127 |   24 |   31 |   53 |  127 |  127 |  127 |  127 |  127 |   56 |  127 |   83 |  119 |  127 |   59 |  127 |  127 |  110 |   91 |  127 |  127 |   43 |  127 |
|   26 |  127 |   78 |  127 |  127 |  127 |  127 |  121 |  127 |  127 |    9 |  127 |   69 |  127 |  123 |   95 |  102 |   90 |  127 |  127 |  127 |   27 |  127 |   30 |  127 |  127 |  127 |   22 |   17 |  127 |  104 |  127 |  127 |
|   27 |  127 |  114 |  127 |  127 |   69 |  127 |   59 |  107 |   42 |  127 |  127 |   39 |  127 |  127 |  103 |   37 |  127 |   23 |  127 |  127 |   49 |  102 |  121 |  114 |   29 |  112 |   17 |  127 |   27 |   16 |   43 |  127 |
|   28 |  127 |  127 |  127 |  127 |  127 |   97 |   96 |  127 |  127 |  127 |  126 |  100 |  118 |   16 |  127 |  127 |  127 |  127 |   49 |  127 |   93 |  126 |  127 |  127 |   76 |  127 |  127 |  118 |   18 |  127 |   98 |  127 |
|   29 |   80 |  127 |  108 |   77 |  127 |  127 |  107 |    3 |  127 |  127 |  127 |  121 |   47 |   35 |  127 |  127 |   84 |  127 |  127 |  127 |   11 |  127 |   92 |  126 |   30 |  109 |  127 |   34 |  127 |  127 |  127 |   15 |
|   30 |  127 |   85 |  127 |   35 |  127 |  127 |  127 |  127 |   26 |    4 |  127 |  127 |  121 |  115 |    2 |  127 |  127 |   34 |  127 |  127 |  127 |  101 |   96 |   94 |  127 |  127 |   24 |  127 |  127 |  123 |   40 |  127 |
|   31 |   85 |   45 |   30 |   85 |  127 |   19 |  127 |  107 |  127 |  127 |  127 |  127 |    4 |  127 |  127 |  127 |   30 |  127 |  127 |    1 |  127 |  127 |  106 |  127 |   19 |  105 |  127 |  127 |  127 |  104 |  109 |  127 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  B-2 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |   93 |   34 |   62 |  127 |  105 |   13 |  127 |  127 |  127 |   34 |   88 |   34 |  123 |   29 |  127 |  127 |   72 |   37 |   15 |  127 |  100 |  107 |    3 |  105 |   74 |  119 |   83 |   98 |  127 |   59 |   49 |
|    1 |   70 |  127 |  127 |  127 |  109 |   88 |  119 |   98 |  127 |  124 |  127 |  127 |   70 |  127 |   20 |  127 |  127 |   36 |  127 |   52 |  127 |   14 |  127 |  127 |  127 |  127 |   27 |   69 |  127 |   77 |  127 |  127 |
|    2 |  127 |   43 |  127 |  124 |  127 |   45 |   81 |  111 |  127 |   53 |  127 |  127 |  120 |   18 |   72 |  127 |  116 |    3 |   13 |  127 |   93 |  127 |  127 |  127 |   99 |   50 |  127 |  127 |  127 |   73 |  127 |   27 |
|    3 |  104 |   27 |   75 |  124 |  127 |  127 |  127 |   11 |  127 |  127 |  127 |  123 |  127 |  122 |  127 |  127 |  127 |   97 |   65 |   25 |   44 |  127 |  127 |  127 |   58 |  127 |  127 |  119 |  127 |  127 |   40 |  127 |
|    4 |   15 |  124 |   76 |  127 |  126 |  127 |  127 |   89 |  109 |  127 |  127 |   71 |  127 |   71 |  127 |  127 |  127 |   67 |  127 |   42 |  127 |  114 |   73 |   12 |  127 |  121 |  127 |   53 |    9 |   22 |  127 |   65 |
|    5 |  127 |  127 |   75 |  127 |  127 |  122 |  127 |  127 |   41 |   91 |   80 |   83 |  127 |  127 |  127 |  125 |  127 |   20 |   99 |  127 |  127 |  127 |   64 |   98 |   14 |  127 |  127 |   48 |  127 |  109 |   73 |   27 |
|    6 |   53 |  127 |  103 |  127 |    5 |  127 |  127 |  127 |  100 |  127 |  127 |  127 |  127 |  127 |  106 |   11 |  127 |  108 |  127 |  127 |   37 |  127 |   10 |  127 |  127 |  127 |  127 |  120 |    6 |  116 |   94 |   13 |
|    7 |  127 |  127 |  127 |   26 |  127 |  104 |  127 |  127 |  127 |  120 |  109 |  127 |   98 |  127 |    6 |  116 |  127 |  127 |  127 |  127 |   54 |  127 |    1 |  127 |  107 |  127 |  127 |   37 |  127 |   65 |  106 |  127 |
|    8 |    7 |  127 |  127 |   75 |  110 |  127 |  127 |  127 |  127 |   80 |  127 |  120 |  127 |   68 |  127 |   26 |  127 |  127 |   73 |   67 |  127 |  127 |   96 |  127 |  114 |  127 |   15 |  127 |  127 |  100 |   49 |   88 |
|    9 |   92 |  127 |   88 |  114 |   47 |   13 |   18 |   66 |  114 |  127 |   56 |  127 |  104 |   14 |   54 |    8 |  127 |    5 |  127 |  127 |   32 |  127 |  127 |   27 |   27 |   81 |   32 |  115 |  127 |  127 |   76 |  127 |
|   10 |   82 |  127 |    7 |   34 |  110 |   13 |  127 |   28 |  127 |   91 |  127 |  127 |   78 |  118 |   13 |  127 |  116 |  127 |  127 |  127 |   41 |    4 |  127 |  127 |  127 |   13 |  127 |   24 |  124 |  127 |   17 |  127 |
|   11 |  120 |  118 |    2 |  127 |  127 |  127 |   19 |   51 |  127 |  124 |   95 |   48 |  127 |   33 |  127 |  127 |  101 |   94 |   41 |  127 |   60 |  100 |   88 |   31 |  127 |  127 |  127 |  127 |  127 |   99 |  127 |   31 |
|   12 |  127 |  127 |  111 |  110 |  127 |  109 |   81 |  111 |  127 |  116 |  127 |  127 |   16 |   46 |   19 |   38 |   35 |  127 |  127 |  127 |   66 |  127 |  127 |   47 |   77 |  127 |  109 |   86 |  127 |   75 |  127 |  114 |
|   13 |  121 |  127 |   29 |  127 |  127 |  127 |   53 |   33 |   68 |  127 |   75 |  108 |  127 |   13 |  127 |  127 |   93 |  127 |  112 |  127 |   93 |  116 |  127 |  127 |   52 |  127 |  103 |   93 |  127 |  127 |  116 |    0 |
|   14 |    3 |   25 |   99 |   43 |  127 |   56 |  127 |  114 |  107 |  127 |  124 |  127 |  127 |  127 |  127 |  118 |   61 |   53 |   59 |  112 |  127 |  127 |  120 |   24 |  120 |   16 |   26 |   19 |  127 |   26 |  127 |  101 |
|   15 |  127 |   99 |  125 |  127 |  127 |   70 |  127 |   72 |  127 |  107 |  127 |   77 |   54 |  127 |  106 |  127 |  127 |  127 |  119 |    4 |  127 |  102 |   65 |  127 |  127 |   42 |  127 |  127 |  127 |   15 |   87 |   76 |
|   16 |  127 |   62 |  127 |   67 |   67 |   62 |   68 |  127 |  116 |  127 |  109 |  127 |  127 |   35 |   20 |  127 |   73 |  127 |  127 |   10 |   58 |   31 |    3 |  127 |   88 |  127 |  127 |   44 |  127 |   77 |   16 |  127 |
|   17 |   51 |   63 |  127 |   78 |  123 |  127 |  127 |   79 |   87 |  127 |   29 |  114 |   62 |  127 |  127 |   46 |  127 |   94 |  127 |  127 |   46 |  127 |   12 |  113 |  127 |  127 |  127 |   87 |   55 |  127 |  127 |   56 |
|   18 |   84 |  127 |   69 |   52 |   68 |  114 |   30 |   67 |  127 |  127 |  102 |  127 |  127 |   33 |  127 |  127 |   28 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  114 |   23 |   34 |  127 |  127 |   23 |  127 |    6 |
|   19 |   35 |  127 |  127 |   89 |  116 |  127 |  127 |  127 |  118 |  127 |  127 |   27 |   16 |  127 |  127 |   25 |    6 |  127 |  104 |  127 |  127 |   75 |  127 |    9 |  127 |  127 |  127 |  127 |  127 |  127 |   18 |  127 |
|   20 |  127 |  127 |    3 |  127 |  127 |  127 |  127 |  109 |   40 |  127 |   23 |    2 |  127 |   71 |  127 |  127 |  127 |  127 |  127 |  127 |  118 |   32 |  127 |  127 |  127 |  127 |  127 |   91 |   35 |  127 |   93 |  127 |
|   21 |  127 |  127 |  127 |   79 |  127 |  127 |  127 |  127 |  102 |  127 |  127 |   15 |   51 |  127 |   25 |  104 |   42 |   10 |   81 |   18 |    4 |   25 |  127 |    5 |   83 |  127 |  127 |  102 |  100 |  117 |  127 |   78 |
|   22 |  127 |  127 |   28 |   78 |  127 |  127 |  127 |  127 |   48 |  127 |   84 |  112 |   67 |   26 |   97 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   31 |  119 |  127 |  127 |   82 |  123 |   64 |  127 |   27 |
|   23 |  127 |   23 |  116 |  119 |   22 |  127 |   51 |  127 |  127 |   64 |  127 |   36 |   69 |  127 |  127 |   65 |   20 |  127 |  127 |  124 |    2 |  119 |   60 |  115 |  127 |  127 |  127 |   91 |   60 |  127 |   95 |   46 |
|   24 |  127 |  127 |  127 |  127 |  112 |  112 |    9 |   50 |  127 |   83 |  127 |  127 |   61 |  127 |   68 |    1 |  127 |  127 |   66 |   55 |   33 |   55 |  127 |   98 |  127 |   35 |   33 |  127 |   91 |   18 |  127 |   69 |
|   25 |  127 |  127 |  127 |  127 |    2 |   62 |  127 |   78 |  127 |  127 |    0 |  127 |  127 |  127 |   10 |  127 |  127 |  125 |  127 |  127 |   21 |  127 |   39 |  127 |  127 |  127 |  127 |    8 |  127 |  127 |   47 |  127 |
|   26 |  127 |   55 |  127 |  125 |   32 |  104 |   83 |   70 |  127 |   48 |  127 |  127 |  127 |   90 |   96 |  127 |  101 |  127 |   33 |   67 |  127 |   74 |  127 |  127 |  127 |  127 |  127 |   45 |  127 |  106 |  127 |  127 |
|   27 |   75 |   28 |   20 |  127 |  127 |   56 |  127 |  101 |  127 |  115 |  127 |   13 |   58 |  127 |   52 |  127 |   38 |   89 |   31 |  127 |  102 |  127 |   31 |   74 |   95 |   48 |   99 |  127 |  127 |   59 |    8 |   67 |
|   28 |  127 |   19 |  126 |   63 |   56 |  127 |    7 |  114 |   64 |  127 |  127 |  127 |  112 |   50 |   60 |  127 |  127 |  127 |   83 |  107 |   86 |  127 |  127 |  127 |  127 |  127 |  127 |  123 |  127 |  127 |   50 |  127 |
|   29 |  108 |   58 |  127 |   10 |  127 |  127 |  127 |  127 |  127 |  127 |   39 |  113 |  127 |  127 |  110 |   37 |   56 |  127 |   50 |  127 |   39 |   42 |   12 |  127 |   76 |  110 |   55 |   34 |   85 |  127 |  102 |   62 |
