+--------------+--------------+
|      Pat No. |           94 |
+--------------+--------------+
|      Pic No. |            3 |
|         Mode |            1 |
|   Ratio Mode |            2 |
|  Ratio Value |        1.000 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
|    9 |  110 |  127 |   26 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   59 |  127 |  127 |  127 |    7 |  127 |  127 |   36 |  127 |  127 |  127 |   43 |  127 |  127 |    5 |  111 |   83 |   96 |  127 |   80 |  127 |  101 |
|   10 |   45 |   43 |    3 |   62 |   60 |   14 |   16 |  104 |  127 |  112 |  127 |  127 |  127 |   53 |   69 |  127 |  127 |   10 |   44 |    3 |  127 |    5 |  127 |  127 |   61 |   84 |  127 |   51 |  127 |  127 |  127 |  127 |
|   11 |  110 |  127 |  127 |   97 |  127 |  127 |  116 |   63 |    5 |   83 |  127 |  124 |  127 |  127 |   46 |  127 |   49 |  127 |    1 |  127 |  127 |  123 |   83 |  127 |  127 |  101 |  127 |  127 |   79 |   80 |   62 |  127 |
|   12 |  127 |  127 |  110 |    5 |  127 |  127 |   35 |   95 |   92 |   19 |  127 |  127 |  127 |   94 |  109 |    4 |  127 |   46 |  127 |  105 |   40 |  127 |  127 |  127 |   69 |  127 |  106 |  113 |   73 |   17 |  127 |   58 |
|   13 |  127 |   28 |  127 |  127 |  118 |   32 |   38 |   93 |   70 |  127 |   30 |   28 |    7 |  114 |   45 |  127 |  127 |  126 |  118 |  127 |  127 |   27 |   65 |  127 |  127 |   41 |  127 |   51 |  127 |   45 |  127 |  107 |
|   14 |  127 |   66 |  127 |  127 |   58 |  127 |  127 |  127 |  121 |  127 |   82 |   14 |   58 |   82 |  127 |  127 |  109 |   37 |  127 |  127 |   54 |   92 |  127 |  127 |   68 |  127 |   74 |  116 |   33 |  107 |   70 |   67 |
|   15 |   23 |   18 |   42 |   92 |  109 |    6 |   63 |  127 |   34 |  127 |   48 |   46 |  127 |  127 |    3 |  127 |   91 |  127 |   85 |  127 |   96 |   35 |  113 |   79 |  123 |   67 |  110 |    9 |   38 |  127 |    4 |  127 |
|   16 |   75 |   77 |   28 |  127 |  105 |  102 |  127 |  127 |  127 |  127 |  117 |  127 |   66 |  127 |  127 |  125 |  127 |  101 |  127 |   42 |  127 |   92 |  127 |   10 |   55 |   39 |   61 |  127 |  127 |    6 |  127 |  127 |
|   17 |  121 |  127 |  112 |   64 |    7 |  127 |  103 |  127 |    2 |   87 |   48 |   87 |  127 |  127 |  127 |   64 |  127 |  127 |    3 |   91 |   96 |  127 |  127 |   51 |  127 |  109 |   14 |  127 |  127 |  127 |   69 |   22 |
|   18 |  127 |  111 |  127 |    8 |   22 |  120 |   91 |   68 |   77 |  127 |   44 |   23 |  127 |  101 |  127 |  118 |  118 |   51 |  127 |   49 |  127 |  127 |  106 |  127 |  127 |  127 |  116 |  127 |   29 |  127 |  103 |  127 |
|   19 |  117 |  127 |  127 |   16 |   35 |   71 |  121 |  127 |  127 |   92 |  127 |  127 |  127 |  110 |  127 |  127 |   17 |   97 |  127 |  127 |    0 |    1 |  127 |    2 |   76 |   69 |  123 |  127 |   77 |  127 |  127 |  127 |
|   20 |  127 |  127 |   96 |  127 |   78 |  127 |   99 |  127 |  127 |   61 |   62 |   32 |   46 |   87 |  127 |  127 |  127 |   74 |  127 |  127 |   73 |  127 |  127 |  127 |   26 |  127 |   48 |  106 |  119 |   69 |  127 |  127 |
|   21 |   62 |  113 |   25 |   62 |   57 |   31 |  127 |  127 |   62 |  127 |  127 |  127 |  114 |   88 |  127 |  126 |  127 |   89 |   97 |  127 |   49 |  127 |  127 |   20 |  127 |  127 |   85 |   56 |    0 |   72 |  127 |  127 |
|   22 |  127 |   81 |  127 |  127 |  127 |  127 |   72 |   75 |  121 |   53 |  127 |  127 |  109 |  127 |   14 |  118 |   36 |  127 |   67 |  127 |  127 |  127 |  127 |   92 |  127 |  127 |  127 |   23 |   63 |   30 |  127 |   38 |
|   23 |  127 |  127 |   96 |   43 |  123 |  127 |  127 |  127 |   97 |    9 |  127 |  127 |  127 |  127 |   99 |  127 |  127 |  127 |   44 |  127 |   65 |   96 |   16 |   67 |   64 |  127 |  127 |  101 |  127 |  127 |  127 |  127 |
|   24 |   88 |  127 |    3 |  127 |  102 |  127 |  127 |   58 |  126 |  127 |   77 |  127 |  127 |   89 |   95 |  119 |   37 |  127 |  127 |   79 |  127 |  121 |  127 |    4 |  127 |  127 |  127 |   94 |  127 |   55 |   85 |   67 |
|   25 |   90 |   96 |  127 |   38 |  113 |   31 |  127 |  127 |  127 |  127 |  127 |    1 |  127 |  127 |  127 |  127 |  127 |   84 |  120 |    3 |    5 |  127 |   54 |  127 |  127 |  106 |  127 |  122 |  127 |  104 |   49 |  127 |
|   26 |  127 |   64 |    8 |   67 |  127 |   16 |   40 |  127 |  106 |  127 |  108 |  127 |  110 |   12 |   43 |  127 |  127 |  127 |  127 |   15 |  127 |   58 |   66 |  127 |   61 |  127 |   28 |   54 |  127 |  116 |  127 |   51 |
|   27 |  127 |  127 |  127 |  127 |   26 |   96 |  127 |  123 |   61 |   84 |   95 |  123 |   15 |  127 |  114 |  127 |  127 |  127 |  101 |  127 |    4 |   81 |  127 |  127 |  127 |  127 |   83 |  107 |   62 |   47 |  127 |   24 |
|   28 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |    0 |  127 |  126 |   80 |  127 |   26 |  127 |   58 |  127 |  127 |  127 |  127 |   11 |  127 |  127 |  127 |   14 |  127 |  127 |  127 |   22 |    5 |  107 |  114 |
|   29 |  127 |   24 |   67 |  127 |  127 |   92 |  107 |    0 |  124 |  127 |   81 |  127 |   90 |   36 |  104 |  127 |   27 |  127 |  127 |   54 |  127 |   56 |  110 |   72 |    8 |  127 |   35 |   91 |  127 |  127 |  127 |  127 |
|   30 |  127 |    8 |  127 |   94 |  127 |  127 |   54 |  127 |   31 |  127 |   88 |  127 |  127 |    9 |  127 |   33 |   46 |  127 |  127 |  127 |   80 |  127 |  127 |   78 |  127 |   20 |  127 |  127 |  127 |  126 |  112 |   84 |
|   31 |  115 |  127 |   92 |  127 |  117 |   68 |  127 |  126 |  127 |  125 |  127 |  127 |   27 |    1 |  127 |  127 |  125 |  127 |  125 |    7 |  127 |  127 |  127 |   44 |  127 |  127 |  127 |   52 |  127 |  127 |   70 |   74 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  G-1 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |  127 |   15 |   94 |  120 |   11 |   46 |  127 |   94 |   69 |   16 |  127 |  127 |  127 |   27 |  127 |   18 |  127 |  127 |   66 |  127 |  127 |   37 |  127 |   67 |  127 |  127 |  127 |  123 |   50 |  127 |  127 |
|    1 |  127 |  127 |  107 |  127 |    6 |   98 |  123 |  123 |  113 |   34 |  127 |   34 |  127 |   85 |  127 |  127 |  118 |   26 |   59 |   70 |   21 |  127 |   78 |  107 |   58 |   37 |  127 |   25 |   49 |  127 |   94 |  127 |
|    2 |   48 |  127 |   42 |  127 |   71 |  127 |   54 |   55 |  102 |  127 |   59 |   41 |   65 |   66 |  127 |   39 |  127 |  127 |  127 |  127 |  105 |  127 |  100 |  119 |    4 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |
|    3 |  106 |   80 |   33 |  127 |  127 |  127 |  127 |   49 |  121 |   84 |  124 |   34 |  127 |  127 |  127 |  127 |   16 |   96 |   53 |   37 |   86 |   72 |  127 |   50 |   93 |  127 |  102 |  101 |  127 |  127 |  108 |  127 |
|    4 |  127 |   12 |   18 |  127 |  127 |   91 |  127 |  127 |   10 |  127 |  127 |   72 |  127 |  127 |   51 |   32 |  127 |  111 |   55 |  118 |  117 |   62 |   96 |   72 |  127 |  104 |  102 |  127 |    8 |   38 |  127 |   75 |
|    5 |  127 |   19 |   70 |  127 |  127 |  127 |   23 |  127 |   42 |  123 |  103 |  127 |   63 |  127 |  127 |  127 |  127 |  127 |   50 |   77 |  127 |  127 |   83 |  127 |  127 |  127 |    5 |  127 |   11 |   50 |   36 |  122 |
|    6 |   67 |  127 |   18 |  127 |   85 |  127 |  127 |  127 |   62 |   44 |  101 |  127 |  127 |  100 |  127 |   16 |  112 |  127 |   84 |  127 |  127 |  127 |  117 |   98 |  127 |   84 |  127 |   58 |  127 |  118 |   67 |  127 |
|    7 |  127 |  127 |  124 |  116 |  127 |  109 |  127 |  127 |   37 |  125 |   63 |  105 |  127 |  127 |  127 |   46 |  102 |  127 |   66 |  127 |  127 |  127 |   28 |   39 |   78 |  127 |  127 |  127 |  127 |  127 |  108 |    1 |
|    8 |  127 |  127 |   35 |   97 |  127 |  127 |  127 |  122 |  127 |   76 |  127 |  127 |  127 |   66 |  127 |   71 |   60 |   70 |  110 |   42 |  127 |  126 |  127 |   21 |   40 |  127 |  127 |   58 |  127 |  127 |  127 |    2 |
|    9 |  117 |  127 |   29 |  127 |   79 |   86 |  121 |  127 |  126 |   86 |    7 |  127 |  106 |  127 |  113 |  127 |  114 |   48 |  127 |   27 |   87 |  127 |  127 |  127 |  127 |  127 |  127 |   23 |  127 |   46 |  127 |  127 |
|   10 |  127 |   99 |   68 |  127 |   61 |   90 |   31 |  127 |  127 |  127 |   30 |  111 |  127 |  127 |    5 |  127 |  127 |   64 |  127 |  127 |   74 |    9 |   61 |  125 |    4 |   47 |   57 |  104 |  118 |  127 |   44 |   13 |
|   11 |  127 |   48 |  127 |    1 |  127 |   95 |  127 |  127 |  127 |  127 |  127 |  127 |   69 |   87 |   45 |  127 |   96 |   40 |   68 |  127 |  127 |  126 |   26 |   46 |  127 |   53 |  127 |  127 |  127 |   67 |   73 |  127 |
|   12 |  127 |  121 |  127 |   61 |   35 |   96 |  122 |  127 |   33 |   44 |   93 |  127 |  127 |    5 |  127 |  127 |  127 |   13 |  127 |    7 |  127 |  127 |   98 |   17 |   57 |   75 |  127 |  106 |  127 |   87 |   37 |  127 |
|   13 |  127 |    6 |  127 |   39 |   14 |  127 |   27 |   16 |  127 |  101 |  105 |  127 |   60 |  127 |  127 |  127 |  127 |   13 |  127 |  127 |  123 |  127 |  127 |   26 |  127 |   25 |  116 |  127 |   69 |  127 |   70 |  127 |
|   14 |  107 |  127 |   12 |  127 |  127 |  127 |  127 |   24 |    1 |  127 |   22 |   45 |  127 |  127 |  103 |  102 |  105 |   33 |  100 |  107 |  127 |  127 |   34 |    5 |  127 |   29 |  127 |  127 |   41 |  127 |  127 |   67 |
|   15 |  127 |  127 |   43 |   91 |   32 |  127 |  127 |   32 |   37 |  110 |  106 |  109 |  113 |  127 |   49 |   76 |  127 |  127 |  101 |  127 |   43 |  127 |   32 |    7 |   71 |   64 |   86 |  127 |   71 |  127 |   96 |   97 |
|   16 |   28 |  127 |  127 |  127 |  127 |  105 |   12 |  127 |  105 |  127 |  127 |  127 |  127 |  127 |   13 |   80 |  127 |   22 |  127 |  127 |  127 |  127 |   13 |  127 |  127 |  122 |  127 |  127 |   85 |  127 |  127 |  127 |
|   17 |  125 |  127 |  122 |  127 |    4 |  127 |  127 |  127 |   94 |  127 |  127 |   11 |  127 |  127 |  105 |   25 |   59 |   11 |   88 |  120 |   29 |  127 |   99 |   74 |  127 |  127 |  127 |  121 |  127 |  127 |  127 |  116 |
|   18 |   18 |  127 |   46 |  127 |   34 |    7 |   26 |  127 |  127 |   49 |  127 |  127 |   60 |  118 |  127 |   40 |  127 |   60 |  127 |  127 |  127 |  127 |   56 |   90 |  127 |   22 |  127 |  127 |   58 |   59 |  127 |  127 |
|   19 |  127 |  127 |  127 |  127 |  127 |  127 |    2 |   30 |  127 |   87 |    7 |   69 |  113 |  118 |  127 |  127 |   58 |  127 |   89 |  127 |  108 |  127 |  127 |  127 |  101 |  127 |  127 |  127 |   27 |   63 |  127 |  127 |
|   20 |   37 |  127 |   77 |   16 |   90 |  104 |  114 |   45 |   13 |  117 |  127 |  127 |   55 |  127 |   68 |   39 |   32 |  127 |  127 |  122 |  127 |   31 |  127 |  127 |   63 |  127 |  127 |   58 |  127 |  127 |  119 |   84 |
|   21 |   92 |  127 |  127 |  127 |  127 |  127 |   74 |  127 |  127 |  127 |  116 |   67 |   29 |    5 |  127 |  127 |   10 |  127 |  127 |   86 |  124 |   15 |  100 |   71 |   28 |  127 |  121 |  127 |   16 |   27 |   68 |  127 |
|   22 |  127 |  127 |  127 |  127 |  127 |  127 |   18 |   75 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   20 |  127 |  106 |  127 |   58 |   15 |   71 |   67 |  111 |  123 |  127 |  116 |  127 |  122 |    2 |  125 |   49 |
|   23 |  127 |  127 |  111 |   40 |   87 |  127 |  124 |  127 |   30 |   28 |   41 |   43 |   17 |   62 |  127 |   24 |   19 |  127 |  127 |  127 |   42 |  127 |   39 |   41 |  124 |  127 |   32 |   71 |  127 |   19 |  127 |  114 |
|   24 |  127 |  127 |   94 |  108 |  127 |  127 |  100 |  127 |  127 |   18 |   41 |  127 |   59 |  119 |   63 |  127 |  127 |   46 |  127 |  127 |  127 |   54 |  127 |   63 |  127 |   10 |  127 |  127 |  127 |  127 |   60 |   98 |
|   25 |   35 |  127 |    8 |  127 |  127 |   53 |  127 |  127 |   57 |   68 |   40 |   41 |   54 |  127 |  127 |  127 |  127 |   16 |  103 |  127 |    1 |  127 |  101 |   55 |  127 |  113 |    1 |  127 |   87 |  127 |   45 |   43 |
|   26 |   94 |  127 |  127 |  127 |   47 |  127 |  127 |    2 |   49 |   76 |  127 |  127 |  110 |  127 |   78 |   73 |  127 |  127 |    6 |   25 |  127 |  127 |  127 |  127 |  127 |  104 |  127 |  127 |   97 |   58 |   33 |  125 |
|   27 |  127 |   26 |  127 |   74 |  127 |  127 |  127 |   50 |  127 |   67 |    2 |  127 |   56 |   41 |  127 |   31 |  127 |  127 |  110 |   12 |    5 |  127 |   31 |  127 |  102 |  127 |   21 |   39 |  102 |  127 |   70 |  127 |
|   28 |  127 |  127 |   51 |  127 |  127 |  127 |   55 |  127 |  127 |  127 |  127 |  127 |   28 |  127 |   11 |  127 |  127 |  127 |  127 |  127 |    7 |    9 |  109 |  127 |   91 |  116 |  127 |  127 |   61 |   76 |  103 |  127 |
|   29 |  127 |   68 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   40 |   93 |   77 |  127 |  127 |  127 |    8 |  124 |   62 |  112 |   11 |  127 |  110 |  127 |  127 |  127 |  127 |  127 |   66 |   78 |   12 |  127 |  127 |
|   30 |    6 |   34 |  127 |  127 |   35 |  127 |   49 |  127 |   52 |  127 |  127 |  107 |  127 |  127 |    9 |  103 |    5 |  104 |   79 |  127 |    2 |  127 |    5 |  122 |  127 |  127 |    5 |   43 |  127 |  127 |  127 |  127 |
|   31 |  127 |  127 |  127 |  127 |  127 |   95 |   32 |  127 |  127 |  127 |   30 |  127 |  127 |   43 |  127 |  127 |    5 |  127 |   77 |   18 |  127 |   84 |   44 |  127 |   33 |  127 |   62 |    1 |  127 |  127 |  127 |  113 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  B-2 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |   65 |  127 |  105 |   61 |  127 |   81 |  127 |   19 |  127 |  107 |  127 |    2 |  127 |  127 |   78 |   86 |  125 |   11 |   54 |  127 |   89 |  127 |   57 |   92 |  127 |   18 |  127 |   43 |  127 |   76 |   79 |  127 |
|    1 |  127 |  127 |   60 |  127 |   20 |   13 |  127 |  127 |    2 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |    3 |  105 |  127 |   91 |  115 |  109 |  127 |   70 |  127 |   42 |  127 |   29 |   82 |  127 |
|    2 |  127 |  127 |   44 |  127 |  104 |  127 |   41 |   47 |  110 |   72 |  127 |  125 |   11 |  127 |   82 |  127 |  127 |  127 |   63 |   28 |  127 |  102 |  127 |  104 |   61 |  127 |  127 |  127 |   92 |   28 |   75 |  127 |
|    3 |  127 |  127 |  112 |  127 |  123 |  127 |   93 |  127 |  127 |    9 |  127 |  127 |  127 |  127 |   95 |   61 |  127 |  127 |   32 |   55 |   36 |   96 |  127 |   23 |  101 |  127 |  119 |  127 |   69 |  105 |  127 |  127 |
|    4 |   54 |   80 |   39 |  127 |  109 |  109 |  100 |   70 |  127 |   62 |   38 |  127 |  127 |   33 |  127 |  107 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   91 |  127 |  127 |  127 |  127 |   99 |   88 |   52 |   30 |
|    5 |   98 |  127 |  115 |  100 |   21 |   18 |   18 |  116 |   57 |  127 |  127 |  127 |  127 |    7 |  127 |  127 |   46 |   22 |   38 |  127 |   48 |  127 |    7 |  123 |  127 |  127 |   97 |   99 |  127 |  127 |   22 |  109 |
|    6 |    8 |  127 |  127 |  127 |   87 |  127 |  127 |  127 |   93 |  127 |   40 |   91 |    0 |  127 |   48 |  102 |  127 |    2 |   46 |  127 |  127 |  127 |    5 |  103 |  127 |  127 |   26 |  127 |  127 |  127 |  127 |  127 |
|    7 |  127 |  127 |  126 |  127 |    5 |   32 |  127 |  127 |  127 |   23 |   40 |  127 |  127 |  127 |  127 |   72 |  127 |   73 |  127 |   82 |   33 |   72 |   31 |   13 |  119 |  127 |  127 |   19 |  127 |   31 |   76 |  110 |
|    8 |   89 |  127 |   99 |   77 |   76 |   64 |  127 |   48 |    2 |  127 |  127 |  127 |   48 |  127 |  112 |  127 |   79 |   39 |  111 |  127 |  127 |   97 |   44 |   89 |   74 |  101 |  127 |   71 |   33 |  127 |   91 |    2 |
|    9 |  127 |    3 |  127 |   92 |  127 |  127 |  127 |  124 |   88 |  127 |  127 |   24 |  127 |  127 |  119 |  105 |  127 |  127 |  127 |  127 |  118 |  119 |  100 |   16 |   63 |   11 |  127 |  127 |  127 |  127 |   53 |  127 |
|   10 |    5 |    0 |  127 |  125 |  127 |    1 |   81 |   70 |  127 |   62 |    9 |  127 |   55 |  127 |  127 |  127 |   63 |    7 |  127 |   97 |  112 |  127 |  127 |  127 |  127 |  104 |  127 |   58 |  101 |   40 |   89 |  127 |
|   11 |  111 |   21 |  127 |   68 |  127 |   44 |  127 |  127 |   38 |  127 |   96 |   78 |   27 |  103 |   92 |  127 |   84 |    0 |  127 |   34 |  123 |    1 |  108 |  127 |  127 |    2 |   91 |   56 |  127 |   66 |  127 |    5 |
|   12 |  127 |   31 |   48 |   17 |   75 |  122 |   42 |   62 |  127 |  127 |   23 |   67 |  127 |   59 |  127 |  127 |  127 |  127 |  127 |  127 |   82 |  127 |   48 |   62 |  127 |   87 |   24 |   59 |    4 |  127 |  127 |   67 |
|   13 |   92 |   99 |  124 |  127 |   16 |  127 |  127 |  127 |  127 |  127 |  115 |  127 |   72 |   51 |   14 |  127 |  127 |   58 |  127 |  127 |  127 |  127 |  111 |  127 |  127 |   26 |  127 |  127 |  127 |   21 |  127 |  127 |
|   14 |  127 |  127 |  127 |   81 |    1 |   92 |  127 |  127 |   28 |  127 |  127 |   68 |  127 |   91 |  127 |  127 |  127 |   38 |  119 |  119 |  107 |  105 |    9 |  104 |  127 |    6 |  127 |   84 |   95 |  127 |  123 |   25 |
|   15 |  127 |  122 |  127 |   11 |  127 |  127 |  127 |   23 |  127 |   21 |  127 |   94 |   56 |  127 |   98 |  127 |  127 |  127 |  127 |    6 |  127 |  127 |  127 |  127 |   58 |   96 |  127 |  110 |   62 |   24 |  127 |   50 |
|   16 |   25 |    0 |   89 |  127 |  127 |  127 |  127 |   48 |   43 |  127 |   69 |  127 |  127 |  127 |  112 |  127 |   74 |   38 |   30 |  127 |  127 |  108 |  127 |  127 |   33 |  127 |   10 |   18 |  127 |   41 |  127 |  127 |
|   17 |   76 |   27 |  127 |   67 |  127 |  127 |  127 |   63 |  126 |   61 |   49 |  127 |    7 |  113 |  127 |  106 |  127 |   21 |  127 |  116 |    9 |   21 |  127 |  127 |  127 |   78 |  103 |  127 |   33 |  127 |   92 |  127 |
|   18 |  127 |  127 |   28 |  127 |  127 |  127 |  127 |  127 |  121 |   23 |  127 |  111 |  127 |  127 |  103 |  127 |   42 |  127 |  127 |  127 |  127 |   11 |  112 |    3 |  127 |  127 |  127 |   75 |  127 |   91 |    1 |   26 |
|   19 |   82 |  127 |   90 |  127 |   35 |  127 |   33 |  127 |   69 |  127 |   89 |   57 |   77 |   77 |   42 |  127 |  127 |   23 |   10 |  120 |  127 |   96 |   65 |   41 |   57 |  127 |   44 |  103 |  127 |  127 |   95 |  127 |
|   20 |  120 |  127 |  127 |   31 |  127 |   67 |   20 |   78 |   47 |  127 |   12 |   31 |  104 |  127 |  127 |  127 |  127 |    5 |   71 |  127 |  127 |  127 |   24 |  127 |  127 |   57 |   75 |  127 |  127 |  127 |  127 |  127 |
|   21 |   39 |  127 |   44 |  127 |  127 |  127 |  127 |  127 |  101 |   81 |   75 |   63 |  127 |   45 |  127 |  127 |  127 |  127 |  108 |  127 |   80 |  127 |  127 |    9 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   96 |
|   22 |  127 |  114 |  127 |  127 |  127 |  127 |  119 |   20 |   62 |  127 |   58 |  127 |  127 |  127 |  127 |    4 |  127 |  127 |  126 |  127 |   68 |   66 |   16 |  127 |   23 |  127 |   96 |   28 |   91 |    8 |  127 |  127 |
|   23 |  127 |   96 |  127 |  127 |  127 |  127 |  127 |   79 |   41 |   50 |   97 |  127 |  127 |  119 |   74 |   80 |  127 |  127 |   51 |  127 |   30 |  105 |   47 |    2 |   98 |  127 |  104 |  127 |   57 |   76 |  127 |   62 |
|   24 |  127 |  127 |   35 |  127 |  105 |    9 |  127 |   84 |  127 |   91 |  111 |  127 |  127 |  116 |  127 |  127 |   46 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |    6 |  112 |  109 |  127 |  127 |  127 |  108 |
|   25 |   45 |  127 |   44 |  113 |  117 |  127 |  127 |  127 |  127 |  127 |  127 |  117 |  127 |  127 |   34 |   68 |   33 |  127 |   91 |  127 |  127 |  127 |  104 |  127 |  127 |   21 |  127 |  127 |   46 |   48 |  120 |  127 |
|   26 |   71 |  127 |   43 |  122 |  127 |  114 |   21 |  127 |  127 |   31 |  127 |   64 |  127 |  127 |  127 |  124 |  102 |  126 |   19 |   90 |   94 |  127 |   16 |  127 |  127 |   46 |  127 |   14 |   18 |   42 |  127 |   66 |
|   27 |  127 |  127 |   26 |   42 |   61 |  127 |  127 |   22 |   62 |  127 |   95 |    3 |   57 |   80 |   26 |  127 |   52 |    2 |   50 |   42 |  127 |  127 |   27 |   30 |  100 |  127 |  127 |    8 |   72 |  127 |  127 |  127 |
|   28 |  127 |  127 |   89 |   64 |  127 |  127 |  127 |  127 |    8 |  127 |   89 |  127 |   90 |  127 |  127 |   66 |  127 |  127 |  127 |   53 |  111 |   16 |  127 |   35 |  127 |  127 |  127 |  127 |    0 |  127 |  103 |  127 |
|   29 |  127 |  127 |  127 |   32 |  127 |   83 |  127 |  127 |  126 |    3 |  104 |   72 |   47 |    1 |    9 |   26 |   87 |  127 |  127 |  127 |  127 |  127 |   87 |   10 |   63 |  127 |  127 |   58 |  127 |   83 |  127 |    8 |
